,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Bat,Terrestrial PAR,Terrestrial PAR mv,Underwater PAR,Underwater PAR mv,Chlorophyll,Chlorophyll mv,1m Temperature,1m DOSat,1m DO,3m Temperature,3m DOSat,3m DO,5m Temperature,5m DOSat,5m DO,7m Temperature,7m DOSat,7m DO,9m Temperature,9m DOSat,9m DO,11m Temperature,11m DOSat,11m DO,13m Temperature,13m DOSat,13m DO,AirTemp,RH,Rel. BP,WindSp,Max WindSp,WindDir,Wet Bulb Temp,Precip Type,RainInten,TotalRain,IntvRain,SolarRad,Head
m/d/y,V,µmol/s/m²,mV,µmol/s/m²,mV,µg/L,mV,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,hPa,m/s,m/s,Degree,C,,mm/h,mm,mm,W/m²,Degree
4/18/2016 13:00,12.6,580.468,2.312,163.855,0.692,1.9,18.997,9.76,107,12.23,8.1,106.9,12.73,6.93,108.2,13.26,6.67,109.7,13.54,6.02,108.4,13.6,5.8,109.7,13.83,5.83,108.6,13.68,15.7,39,1009.1,2.7,4,130,8.9,60,0.1,0.3,0,1000,47
4/18/2016 13:15,12.4,431.101,1.717,106.069,0.448,2.218,22.176,9.49,107.5,12.37,7.68,107.1,12.88,6.75,107.8,13.27,6.55,109.2,13.51,6,107.5,13.49,5.74,108.9,13.75,5.79,107.8,13.59,14.6,44,1009.1,2.4,2.8,139,8.7,60,0,0.3,0,1000,291
4/18/2016 13:30,12.3,268.53,1.07,61.613,0.26,2.111,21.115,9.65,107.4,12.31,7.93,106.2,12.69,6.9,106.9,13.11,6.61,108.4,13.39,6.3,106.2,13.22,5.73,108,13.63,5.79,106.9,13.48,15.1,40,1009,2,2.4,131,8.5,60,0,0.3,0,1000,272
4/18/2016 13:45,12.4,378.697,1.509,85.613,0.362,2.15,21.499,9.27,108.2,12.52,7.87,105.8,12.67,6.71,106.5,13.13,6.56,107.7,13.32,6.02,105.8,13.27,5.73,107.1,13.52,5.79,106.1,13.38,14.8,47,1009,1.9,2.2,116,9.2,0,0,0.3,0,1000,312
4/18/2016 14:00,12.4,310.461,1.237,75.994,0.321,2.622,26.219,9.14,108.6,12.6,7.83,105.4,12.63,6.73,105.8,13.03,6.51,107,13.25,6.08,104.9,13.13,5.73,106.2,13.41,5.78,105.3,13.28,15.4,42,1008.9,1.2,1.7,94,9.1,0,0,0.3,0,1000,312
4/18/2016 14:15,12.3,262.638,1.046,71.832,0.303,2.314,23.144,9.44,108.3,12.48,7.82,104.9,12.57,6.7,105.2,12.96,6.49,106.3,13.17,6.14,104,13,5.73,105.3,13.3,5.77,104.5,13.18,15.2,45,1008.7,2.2,3,115,9.2,0,0,0.3,0,1000,312
4/18/2016 14:30,12.3,171.071,0.682,47.823,0.202,2.473,24.732,9.25,108.8,12.59,7.86,104.4,12.49,6.69,104.5,12.88,6.51,105.6,13.07,6.23,103.1,12.85,5.74,104.4,13.18,5.78,103.6,13.07,15.4,35,1008.6,2.5,3.3,53,8.3,0,0.1,0.3,0,1000,313
