Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "-5"
  daylightSavings: true

Logger Info: 
  - &1
    launchDescription: "Maine Lakes Resource Center"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10151341
    memorySize: 0
    firmwareVersion: 1.117
    firmwareVersionRaw: 0
    deploymentNumber: 3023
Series Info: 
  - name: "Pressure"
    type: value
    unitName: "inHg"
    OMClassName: OMPressure_HWS
    OMPartNumber: S-BPB-XXXX
    OMUnitIndex: 4
    OMChannelType: 7
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: "mph"
    OMClassName: OMWindWCA_HWS
    OMPartNumber: S-WCA-XXXX
    OMUnitIndex: 2
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: "mph"
    OMClassName: OMWindWCA_HWS
    OMPartNumber: S-WCA-XXXX
    OMUnitIndex: 2
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WCA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: "*F"
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-TMB-XXXX
    OMUnitIndex: 1
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: "*F"
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-TMB-XXXX
    OMUnitIndex: 1
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Temp"
    type: value
    unitName: "*F"
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 1
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: "*F"
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 1
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Rain"
    type: value
    unitName: "in"
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGA-M002
    OMUnitIndex: 1
    OMChannelType: 17
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Eastern Daylight Time","Pressure, inHg","Wind Speed, mph","Gust Speed, mph","Wind Dir, *","Temp, *F","PAR, uE","Temp, *F","Temp, *F","RH, %","DewPt, *F","Rain, in","Batt, V"
1,3/14/16 00:35:00,30.031,0.0,0.8,216,31.79,1,40.06,32.79,42.60,12.56,0.00,4.46
2,3/14/16 00:40:00,30.033,0.0,0.0,216,32.04,1,39.97,33.14,42.50,12.83,0.00,4.48
3,3/14/16 00:45:00,30.033,0.0,0.0,216,32.04,1,40.06,33.04,42.20,12.58,0.00,4.46
4,3/14/16 00:50:00,30.036,0.0,0.0,216,32.09,1,40.06,32.69,44.20,13.32,0.00,4.48
5,3/14/16 00:55:00,30.036,0.0,3.3,216,32.09,1,40.06,32.54,45.00,13.59,0.00,4.46
6,3/14/16 01:00:00,30.039,1.2,4.6,216,32.04,1,40.02,32.59,45.50,13.87,0.00,4.48
7,3/14/16 01:05:00,30.045,1.7,6.6,216,31.99,1,40.02,32.39,45.40,13.64,0.00,4.46
8,3/14/16 01:10:00,30.045,1.7,3.3,216,31.74,1,39.97,32.19,46.10,13.80,0.00,4.48
9,3/14/16 01:15:00,30.048,1.7,4.6,216,31.49,1,40.06,32.04,46.70,13.96,0.00,4.46
10,3/14/16 01:20:00,30.048,1.7,5.0,216,31.44,1,40.25,31.89,47.70,14.31,0.00,4.48
11,3/14/16 01:25:00,30.048,1.7,5.4,216,31.29,1,40.25,31.64,47.30,13.89,0.00,4.46
12,3/14/16 01:30:00,30.051,1.7,4.2,216,30.94,1,39.74,31.59,48.20,14.27,0.00,4.48
13,3/14/16 01:35:00,30.051,2.1,5.4,216,31.09,1,39.92,31.64,48.40,14.41,0.00,4.46
14,3/14/16 01:40:00,30.054,2.5,5.0,216,31.04,1,39.78,31.49,48.60,14.36,0.00,4.48
15,3/14/16 01:45:00,30.057,1.2,4.6,216,30.99,1,39.78,31.19,49.00,14.27,0.00,4.46
16,3/14/16 01:50:00,30.057,1.7,4.2,216,30.58,1,39.88,31.19,48.80,14.18,0.00,4.48
17,3/14/16 01:55:00,30.060,0.8,2.9,216,30.43,1,39.88,30.83,49.70,14.27,0.00,4.46
18,3/14/16 02:00:00,30.060,0.8,2.1,216,30.07,1,40.06,30.58,49.30,13.86,0.00,4.48
19,3/14/16 02:05:00,30.057,2.5,4.6,216,30.02,1,39.92,30.58,49.40,13.89,0.00,4.46
20,3/14/16 02:10:00,30.060,1.2,4.2,216,29.56,1,40.02,30.33,49.90,13.89,0.00,4.48
21,3/14/16 02:15:00,30.063,1.7,3.3,216,29.51,1,40.06,30.38,49.80,13.89,0.00,4.46
22,3/14/16 02:20:00,30.063,2.9,7.5,216,29.76,1,39.78,30.43,48.80,13.48,0.00,4.48
23,3/14/16 02:25:00,30.060,0.8,5.0,216,29.46,1,39.64,30.02,49.40,13.37,0.00,4.46
24,3/14/16 02:30:00,30.066,1.2,3.3,216,29.20,1,39.83,29.97,48.60,12.96,0.00,4.48
25,3/14/16 02:35:00,30.066,1.7,3.7,216,29.35,1,39.74,30.02,49.10,13.24,0.00,4.46
26,3/14/16 02:40:00,30.069,1.2,3.3,216,29.20,1,39.83,30.02,48.10,12.78,0.00,4.48
27,3/14/16 02:45:00,30.066,2.1,5.4,216,29.30,1,39.83,30.02,47.90,12.69,0.00,4.46
28,3/14/16 02:50:00,30.066,2.1,4.2,216,29.10,1,39.92,29.76,47.90,12.43,0.00,4.48
29,3/14/16 02:55:00,30.069,2.1,3.3,216,28.94,1,39.69,29.71,48.30,12.58,0.00,4.48
30,3/14/16 03:00:00,30.066,1.2,4.2,216,29.05,1,39.60,29.46,48.60,12.49,0.00,4.47
31,3/14/16 03:05:00,30.069,2.1,5.4,216,29.15,1,39.83,29.56,48.90,12.72,0.00,4.46
32,3/14/16 03:10:00,30.069,2.1,5.8,216,28.94,1,39.97,29.51,48.30,12.40,0.00,4.48
33,3/14/16 03:15:00,30.069,2.1,4.6,216,28.89,1,40.02,29.35,48.00,12.11,0.00,4.46
34,3/14/16 03:20:00,30.072,1.7,4.2,216,28.84,1,40.02,29.30,48.50,12.29,0.00,4.48
35,3/14/16 03:25:00,30.072,1.7,4.2,216,28.63,1,39.64,29.20,47.60,11.79,0.00,4.46
36,3/14/16 03:30:00,30.078,1.7,3.7,216,28.53,1,39.64,29.10,47.70,11.73,0.00,4.48
37,3/14/16 03:35:00,30.075,2.1,4.2,216,28.37,1,39.55,29.25,47.80,11.93,0.00,4.46
38,3/14/16 03:40:00,30.081,2.1,4.6,216,28.22,1,39.41,28.99,47.70,11.64,0.00,4.48
39,3/14/16 03:45:00,30.081,1.2,4.6,216,28.27,1,39.74,29.05,47.90,11.79,0.00,4.46
40,3/14/16 03:50:00,30.084,2.1,5.0,216,28.37,1,39.64,29.05,47.50,11.59,0.00,4.48
41,3/14/16 03:55:00,30.084,2.5,6.2,216,28.37,1,39.69,29.15,47.30,11.59,0.00,4.46
42,3/14/16 04:00:00,30.084,1.7,4.6,216,28.11,1,39.60,28.84,47.30,11.30,0.00,4.48
43,3/14/16 04:05:00,30.081,2.1,3.7,216,27.96,1,39.64,28.74,48.10,11.59,0.00,4.46
44,3/14/16 04:10:00,30.081,2.5,5.4,216,27.96,1,39.97,28.63,48.20,11.53,0.00,4.48
45,3/14/16 04:15:00,30.084,2.1,3.3,216,27.80,1,39.78,28.53,48.60,11.62,0.00,4.46
46,3/14/16 04:20:00,30.084,2.5,5.0,216,27.75,1,39.64,28.48,48.80,11.68,0.00,4.48
47,3/14/16 04:25:00,30.087,1.2,2.9,216,27.59,1,39.78,28.27,48.90,11.53,0.00,4.46
48,3/14/16 04:30:00,30.087,2.1,6.2,216,27.49,1,39.50,28.27,49.60,11.84,0.00,4.48
49,3/14/16 04:35:00,30.090,1.2,5.0,216,27.33,1,39.78,28.11,49.80,11.79,0.00,4.46
50,3/14/16 04:40:00,30.093,2.1,3.7,216,27.17,1,39.50,28.32,49.20,11.71,0.00,4.48
51,3/14/16 04:45:00,30.095,2.5,4.6,216,27.22,1,39.45,28.22,48.80,11.43,0.00,4.46
52,3/14/16 04:50:00,30.090,2.1,5.4,216,27.22,1,39.60,27.96,49.00,11.28,0.00,4.47
53,3/14/16 04:55:00,30.095,0.4,2.1,216,26.75,1,39.50,27.54,49.50,11.12,0.00,4.46
54,3/14/16 05:00:00,30.098,2.1,4.6,216,26.70,1,39.60,28.06,49.00,11.37,0.00,4.48
55,3/14/16 05:05:00,30.101,1.2,2.9,216,26.85,1,39.78,27.69,48.90,10.99,0.00,4.46
56,3/14/16 05:10:00,30.104,1.2,2.9,216,26.54,1,39.55,27.69,49.00,11.05,0.00,4.48
57,3/14/16 05:15:00,30.104,2.1,4.6,216,26.80,1,39.55,27.75,48.70,10.96,0.00,4.46
58,3/14/16 05:20:00,30.107,1.2,2.9,216,26.75,1,39.50,27.59,49.10,10.99,0.00,4.48
59,3/14/16 05:25:00,30.107,1.2,2.9,216,26.54,1,39.83,27.49,49.00,10.85,0.00,4.46
60,3/14/16 05:30:00,30.107,1.2,3.7,216,26.43,1,39.36,27.54,49.20,10.99,0.00,4.50
61,3/14/16 05:35:00,30.107,0.8,2.1,216,26.32,1,39.36,27.33,49.30,10.83,0.00,4.46
62,3/14/16 05:40:00,30.107,0.8,2.5,216,26.06,1,39.60,27.17,49.60,10.83,0.00,4.47
63,3/14/16 05:45:00,30.107,1.2,3.3,216,25.90,1,39.45,27.17,50.30,11.14,0.00,4.46
64,3/14/16 05:50:00,30.110,1.2,2.9,216,26.06,1,39.83,27.22,49.60,10.89,0.00,4.48
65,3/14/16 05:55:00,30.113,0.0,1.2,216,25.68,1,39.41,26.96,49.70,10.67,0.00,4.46
66,3/14/16 06:00:00,30.116,0.8,2.5,216,25.68,1,39.27,26.91,49.90,10.72,0.00,4.48
67,3/14/16 06:05:00,30.116,0.8,2.5,216,25.47,1,39.45,26.91,49.80,10.67,0.00,4.46
68,3/14/16 06:10:00,30.119,0.4,2.5,216,25.31,1,39.50,26.70,50.80,10.92,0.00,4.48
69,3/14/16 06:15:00,30.122,0.4,1.7,216,25.31,1,39.50,26.70,50.60,10.83,0.00,4.46
70,3/14/16 06:20:00,30.122,0.8,2.9,216,25.42,1,39.41,26.80,50.30,10.80,0.00,4.48
71,3/14/16 06:25:00,30.122,0.0,1.7,216,25.52,1,39.31,26.64,50.10,10.56,0.00,4.46
72,3/14/16 06:30:00,30.119,1.2,2.9,216,25.63,4,39.64,26.85,50.20,10.80,0.00,4.47
73,3/14/16 06:35:00,30.119,1.7,4.2,216,26.01,9,39.31,26.96,50.10,10.85,0.00,4.46
74,3/14/16 06:40:00,30.122,0.4,1.7,216,25.90,19,39.12,26.70,51.20,11.10,0.00,4.47
75,3/14/16 06:45:00,30.122,1.7,3.7,216,26.16,24,39.41,27.06,51.50,11.57,0.00,4.46
76,3/14/16 06:50:00,30.125,0.8,2.9,216,26.54,34,39.41,27.12,51.50,11.62,0.00,4.47
77,3/14/16 06:55:00,30.128,0.8,2.1,216,26.91,49,39.41,27.28,51.60,11.82,0.00,4.46
78,3/14/16 07:00:00,30.128,0.8,2.9,216,27.38,66,39.36,27.43,51.40,11.88,0.00,4.47
79,3/14/16 07:05:00,30.128,0.8,2.9,216,28.42,106,39.50,28.11,51.00,12.33,0.00,4.46
80,3/14/16 07:10:00,30.125,0.8,2.5,216,32.19,154,39.60,28.94,49.70,12.51,0.00,4.48
81,3/14/16 07:15:00,30.125,1.2,2.9,216,34.96,174,39.74,29.71,48.50,12.67,0.00,4.46
82,3/14/16 07:20:00,30.131,1.2,2.9,216,32.49,116,39.50,28.63,49.10,11.95,0.00,4.48
83,3/14/16 07:25:00,30.131,2.1,4.6,216,30.53,131,39.50,28.32,49.50,11.84,0.00,4.46
84,3/14/16 07:30:00,30.131,1.7,3.7,216,30.22,151,39.64,28.42,49.80,12.07,0.00,4.48
85,3/14/16 07:35:00,30.134,0.8,3.3,216,30.94,176,39.55,28.63,49.50,12.13,0.00,4.46
86,3/14/16 07:40:00,30.131,2.5,4.6,216,30.63,201,39.69,28.37,49.50,11.89,0.00,4.48
87,3/14/16 07:45:00,30.131,2.1,4.6,216,30.83,231,39.83,28.74,49.60,12.27,0.00,4.46
88,3/14/16 07:50:00,30.131,0.8,5.4,216,32.59,281,39.97,29.66,49.20,12.96,0.00,4.48
89,3/14/16 07:55:00,30.131,1.2,3.3,216,33.34,271,39.88,29.51,49.50,12.96,0.00,4.46
90,3/14/16 08:00:00,30.131,1.2,3.7,216,32.29,249,39.64,29.15,49.60,12.67,0.00,4.48
91,3/14/16 08:05:00,30.131,1.7,5.0,216,31.99,266,39.78,28.89,49.80,12.51,0.00,4.46
92,3/14/16 08:10:00,30.131,1.2,3.7,216,31.69,294,39.74,29.30,50.30,13.12,0.00,4.48
93,3/14/16 08:15:00,30.128,2.1,6.2,216,31.34,311,39.83,29.30,49.90,12.94,0.00,4.46
94,3/14/16 08:20:00,30.131,2.5,6.2,216,31.54,326,39.45,29.05,49.70,12.61,0.00,4.48
