,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Bat,Terrestrial PAR,Terrestrial PAR mv,Underwater PAR,Underwater PAR mv,Chlorophyll,Chlorophyll mv,1m Temperature,1m DOSat,1m DO,3m Temperature,3m DOSat,3m DO,5m Temperature,5m DOSat,5m DO,7m Temperature,7m DOSat,7m DO,9m Temperature,9m DOSat,9m DO,11m Temperature,11m DOSat,11m DO,13m Temperature,13m DOSat,13m DO,AirTemp,RH,Rel. BP,WindSp,Max WindSp,WindDir,Wet Bulb Temp,Precip Type,RainInten,TotalRain,IntvRain,SolarRad,Head
m/d/y,V,µmol/s/m²,mV,µmol/s/m²,mV,µg/L,mV,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,hPa,m/s,m/s,Degree,C,,mm/h,mm,mm,W/m²,Degree
5/17/2017 11:00,12.2,763.284,3.041,234.533,0.991,1.962,19.617,23.27,65.1,5.56,12.71,105,11.2,11.74,103.5,11.29,11.38,104.4,11.48,11.18,104.5,11.55,10.93,101.6,11.29,10.74,104.2,11.64,22.7,43,999.6,3.1,6.4,37,14.9,60,0,0,0,1000,140
5/17/2017 11:15,12.3,1745.574,6.954,169.789,0.717,2.196,21.957,12.77,54.8,5.84,11.38,106.2,11.69,11.53,103.4,11.34,11.21,103.6,11.44,10.93,104,11.56,10.68,99.5,11.13,10.48,103.2,11.6,22.9,42,999.4,3.4,4.3,28,14.9,0,0,0,0,1000,140
5/17/2017 11:30,12.7,1679.012,6.689,494.661,2.09,2.078,20.777,12.48,42.8,4.59,11.38,104.9,11.54,11.59,103,11.28,11.24,102.6,11.32,10.93,103,11.46,10.67,97.2,10.87,10.43,101.7,11.43,22.9,45,999,3,5.3,341,15.4,0,0,0,0,1000,140
5/17/2017 11:45,12.7,1788.524,7.125,511.537,2.161,1.969,19.685,12.53,25.9,2.77,11.34,103.6,11.41,11.52,102.7,11.26,11.19,101.7,11.24,10.83,102.2,11.39,10.63,95,10.64,10.48,100.1,11.25,23,41,998.4,1.1,3.2,21,14.8,0,0,0,0,1000,140
5/17/2017 12:00,12.7,1764.763,7.03,389.404,1.645,2.053,20.526,12.39,13.9,1.49,11.37,102.3,11.25,11.57,102.4,11.21,11.2,100.9,11.14,10.88,101.2,11.27,10.57,92.9,10.42,10.58,98.7,11.06,23.3,43,998.1,2.2,2.8,299,15.4,0,0,0,0,1000,140
5/17/2017 12:15,12.8,1775.966,7.075,595.854,2.518,1.996,19.964,12.48,9.8,1.05,11.33,101,11.13,11.53,102.1,11.2,11.13,100.1,11.08,10.92,100.3,11.15,10.59,90.8,10.17,10.47,97.5,10.95,23.8,42,998,3.1,6.3,337,15.6,0,0,0,0,1000,140
5/17/2017 12:30,12.7,1773.17,7.064,416.63,1.76,2.038,20.382,12.27,8.1,0.88,11.4,99.8,10.98,11.59,101.7,11.14,11.29,99,10.92,10.87,99.5,11.08,10.59,88.8,9.95,10.47,96.1,10.8,24.2,42,998,3.1,4.6,344,15.9,0,0,0,0,1000,140
