#year, #population, #calves, #juveniles, #mAdults, #fAdults, #seniors, #numCulled
1, 7294, 505, 1177, 2820, 2663, 129, 474
2, 7484, 628, 1523, 2798, 2376, 159, 753
3, 7817, 887, 1978, 2778, 2045, 129, 1158
4, 7890, 563, 2650, 2765, 1788, 124, 1154
5, 8008, 576, 3031, 2759, 1537, 105, 1278
6, 8093, 484, 3422, 2758, 1310, 119, 1331
7, 8130, 386, 3734, 2764, 1138, 108, 1314
8, 8146, 360, 3954, 2756, 982, 94, 1324
9, 8170, 328, 4160, 2740, 860, 82, 1331
10, 8155, 248, 4341, 2719, 756, 91, 1300
11, 8143, 225, 4427, 2713, 683, 95, 1252
12, 8132, 222, 4528, 2687, 603, 92, 1244
13, 8045, 169, 4277, 2819, 691, 89, 1166
14, 7998, 201, 3860, 3024, 833, 80, 1130
15, 7948, 245, 3259, 3327, 1048, 69, 1129
16, 7980, 296, 2992, 3498, 1120, 74, 1143
17, 8031, 363, 2750, 3690, 1147, 81, 1227
18, 8005, 344, 2639, 3830, 1109, 83, 1233
19, 8018, 358, 2594, 3923, 1065, 78, 1217
20, 8058, 336, 2601, 4010, 1036, 75, 1238
21, 8067, 317, 2610, 4057, 1004, 79, 1255
22, 8054, 295, 2674, 4092, 928, 65, 1234
23, 8083, 294, 2738, 4123, 853, 75, 1244
24, 8086, 278, 2798, 4150, 789, 71, 1239
25, 8083, 240, 2896, 4134, 731, 82, 1213
26, 8089, 236, 2929, 4155, 694, 75, 1215
27, 8079, 229, 2917, 4184, 692, 57, 1200
28, 8080, 228, 2861, 4243, 682, 66, 1209
29, 8053, 198, 2756, 4337, 694, 68, 1186
30, 8051, 216, 2647, 4397, 726, 65, 1167
31, 8042, 225, 2513, 4462, 760, 82, 1173
32, 8030, 236, 2409, 4528, 782, 75, 1163
33, 8036, 249, 2331, 4584, 803, 69, 1162
34, 8039, 252, 2281, 4647, 800, 59, 1176
35, 8056, 259, 2249, 4690, 787, 71, 1191
