STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
GHCND:USW00014764,PORTLAND JETPORT ME US,20100101,0.1,5,0.8,0.38,13,3,1.04,23,8.1,0.28,1.5,0.28,1.5,372,221,77,30,570,145,419,324,238,134,8,66,35,-4.6,-8.1,0.3,-9.4,-12.4,-14.1,-12.3,-11.8
GHCND:USW00014764,PORTLAND JETPORT ME US,20100102,0.1,5,0.8,0.38,13,3.3,1.04,23,8.1,0.56,3,0.56,3,372,221,77,29,581,151,429,333,240,136,8,66,36,-4.7,-8.1,0.2,-9.6,-12.3,-14.1,-12.3,-11.8
GHCND:USW00014764,PORTLAND JETPORT ME US,20100103,0.1,5,0.8,0.38,13,3.3,1.04,25,8.1,0.86,4.6,0.86,4.6,371,220,77,29,592,158,439,343,241,137,8,67,37,-4.8,-8.1,0.1,-9.7,-12.3,-14.1,-12.3,-11.7
GHCND:USW00014764,PORTLAND JETPORT ME US,20100104,0.1,8,0.8,0.38,15,3.3,1.04,25,8.1,1.14,6.1,1.14,6.1,371,220,77,29,602,164,449,352,242,138,8,67,37,-4.9,-8.1,-0.1,-9.8,-12.3,-14.1,-12.3,-11.7
GHCND:USW00014764,PORTLAND JETPORT ME US,20100105,0.1,8,0.8,0.38,15,3.3,1.04,25,8.1,1.42,7.9,1.42,7.9,370,220,77,28,612,170,459,362,244,139,8,68,38,-5,-8,-0.1,-9.9,-12.2,-14.1,-12.2,-11.7
GHCND:USW00014764,PORTLAND JETPORT ME US,20100106,0.1,8,0.8,0.38,15,3.3,1.04,25,8.1,1.73,9.4,1.73,9.4,370,219,77,28,622,177,469,371,246,141,8,68,38,-5.1,-8,-0.2,-10,-12.2,-14.1,-12.2,-11.6
GHCND:USW00014764,PORTLAND JETPORT ME US,20100107,0.1,8,1,0.38,15,3.3,1.04,25,8.1,2.01,10.9,2.01,10.9,369,219,77,28,631,183,479,380,247,142,8,68,39,-5.2,-8,-0.3,-10.1,-12.2,-14.1,-12.2,-11.6
GHCND:USW00014764,PORTLAND JETPORT ME US,20100108,0.1,8,1,0.38,15,3.3,1.04,25,8.1,2.26,12.4,2.26,12.4,369,219,77,27,640,189,488,388,249,143,8,69,40,-5.3,-8,-0.4,-10.2,-12.1,-14.1,-12.2,-11.5
GHCND:USW00014764,PORTLAND JETPORT ME US,20100109,0.1,8,1,0.36,15,3.3,1.04,25,8.1,2.54,14.2,2.54,14.2,369,218,78,27,649,195,497,396,250,145,8,69,40,-5.3,-8,-0.4,-10.2,-12.1,-14,-12.2,-11.4
GHCND:USW00014764,PORTLAND JETPORT ME US,20100110,0.1,8,1,0.36,15,3.3,1.04,25,7.9,2.82,15.7,2.82,15.7,368,218,78,27,657,200,506,404,251,146,8,69,40,-5.4,-8,-0.5,-10.3,-12.1,-14,-12.1,-11.4
GHCND:USW00014764,PORTLAND JETPORT ME US,20100111,0.1,8,1,0.36,15,3.3,1.07,25,7.9,3.1,17.5,3.1,17.5,367,217,78,27,666,206,515,411,252,147,8,69,41,-5.5,-7.9,-0.6,-10.4,-12.1,-14,-12.1,-11.4
GHCND:USW00014764,PORTLAND JETPORT ME US,20100112,0.1,8,1,0.36,15,3.3,1.07,28,7.9,3.38,19.1,3.38,19.1,367,217,78,26,673,211,524,418,253,147,8,69,41,-5.6,-7.9,-0.6,-10.4,-12,-14,-12.1,-11.3
GHCND:USW00014764,PORTLAND JETPORT ME US,20100113,0.1,8,1,0.36,15,3.3,1.07,28,7.9,3.66,20.8,3.66,20.8,366,217,78,26,681,216,532,424,253,148,8,69,41,-5.6,-7.9,-0.7,-10.5,-12,-13.9,-12.1,-11.3
GHCND:USW00014764,PORTLAND JETPORT ME US,20100114,0.1,8,1,0.36,15,3.3,1.07,28,7.9,3.94,22.4,3.94,22.4,365,216,78,26,688,221,539,430,254,149,8,69,41,-5.6,-7.9,-0.7,-10.6,-12,-13.9,-12.1,-11.3
GHCND:USW00014764,PORTLAND JETPORT ME US,20100115,0.1,8,1,0.36,15,3.3,1.07,28,7.9,4.22,24.1,4.22,24.1,364,216,78,26,695,225,547,435,254,149,8,69,41,-5.7,-7.9,-0.7,-10.6,-12,-13.9,-12.1,-11.3
